screen_name,username,timestamp,text,likes,retweets,replies
Lily0fTheVallEE,𝒮𝒾𝓁𝓁𝒶𝑔𝑒🕷,2020-01-10 23:59:14,"Sometimes I look at Dick Grayson and just-
Ty for coming to my Ted Talk",0,0,0
shubomifashakin,Shubomi.,2020-01-10 23:49:24,"Dick Grayson, 

But Jason Todd would beat all of them lol https://twitter.com/zaach26/status/1215778467486236672 …",0,0,0
Sabrina_Seraoui,SABRINA ⭐⭐ #BLM,2020-01-10 23:49:01,"Ok but, Dick Grayson's training sessions are HOT ! #TitansNetflix",0,0,0
zaach26,zach.,2020-01-10 23:32:29,"Who’s the best Robin between Dick Grayson, Damien Wayne and Tim Drake?",1,1,5
HannahWhite93,HannahWhite93,2020-01-10 23:31:36,I’ve watched the whole second series of Titans in less then 24 hours. What do I do with myself now?? I NEED MORE DICK GRAYSON AND MY SON GAR AND MY NEW ADOPTED SON CONNER AND HIS FOUR LEGGED FRIEND KYPTO,0,0,0
Russell_Sellers,Russell Sellers,2020-01-10 23:09:14,"#DailyDC reading was nostalgic for some Dick Grayson #Batman. I'm sure greg.phillips.583 will appreciate some love for that all-too-brief time when Judd Winick, Ed Benes and Mark Bagley took on the post-Death of… https://www.instagram.com/p/B7KDOuegHxL/?igshid=93zr9tqlmfm7 …",2,1,2
x_DickGrayson,ℛɪᴄʜᴀʀᴅ ᴊ. ɢʀᴀʏsᴏɴ -Missing-,2020-01-10 23:07:27,wally.... WALLY!!!,0,0,1
cidnyareads,Cid,2020-01-10 22:59:20,"I just... I want... A good BATFAM book! Why is that so much to ask! 

I will sell soul to DC if I could just a good new book showcasing the love that exists between Dick Grayson, Tim Drake, Damian Wayne, Barbara Gordon, Jason Todd, Cassandra Cain, and every person inbetween",12,2,1
johnnydelrey,narco barbie,2020-01-10 22:39:37,dick grayson.... pic.twitter.com/n9sS3pqfqo,1,0,0
Sabrina_Seraoui,SABRINA ⭐⭐ #BLM,2020-01-10 22:36:38,Can Dick Grayson and Donna Troy be my second parents !? #TitansNetflix,0,0,0
