screen_name,username,timestamp,text,likes,retweets,replies
markhughesfilms,Mark Hughes,2020-01-10 23:59:48,Also Truth is to Trump as Superman is to Lex Luthor — I like that iteration b/c it makes Truth the superhero!,8,0,1
insanecourgette,Rikki Adamson ⭐️⭐️,2020-01-10 23:59:40,I’ve got my 2 boys names on me I think I’d do well! Also got a lily flower and very poor batman superman crossover and ET but my point still valid! https://twitter.com/EmilyFluke2/status/1215311821655003142 …,0,0,0
Rey_Knight,Rey Knight,2020-01-10 23:59:23,I found an awesome Superman case on Wish of all places.,1,0,1
CrownLikeFitits,DWAYNE,2020-01-10 23:58:51,Fam. Can we get another superman? A real superman film? https://twitter.com/TheWitcher_net/status/1215645844248002563 …,0,0,0
KenzoShibata,Kenzo Shibata 👍,2020-01-10 23:58:38,Superman wears Bernie shirts? I knew it!,3,0,0
DynamicForces,Dynamic Forces,2020-01-10 23:58:00,DF SPECIAL: FANTASTICALLY UNBELIEVABLE COLLECTORS KIT FRIDAY! GOLD #Marvel & #dccomics #signed #comicbook! CGC #comics! #art #sketches! #LimitedEdition VARIANTS! #avengers #ironman #BATMAN #Superman #CaptainAmerica #Thor #WonderWoman #FLASH @DynamicForces https://www.dynamicforces.com/htmlfiles/index.html …pic.twitter.com/5FBO9GPbnW,1,0,0
taranique_x,•blossom💕,2020-01-10 23:57:45,"I want that monica 3D, Superman, & my everything love 😭",0,0,0
lodgepolepines,revachol forever,2020-01-10 23:57:25,When you go to lunch with a co-worker and she reveals that she's wearing a Bernie shirt under her sweater like Superman.,88,5,1
konaflower,Glenda,2020-01-10 23:57:16,But at least Superman knows what kryptonite is.  Trump wouldn't know what the truth is if it jumped up and bit him in the face. https://twitter.com/StephenKing/status/1215774654473916418 …,1,0,0
meldroc_BLM,meldroc,2020-01-10 23:57:09,"@elonmusk Damn, Superman sure is a mean drunk! https://twitter.com/BocaChicaGal/status/1215652963735293959 …",0,0,0
